iter	Passed	Remaining
0	81	40800
1	164	41022
2	245	40589
3	330	41032
4	353	35036
5	440	36305
6	526	37090
7	615	37844
8	699	38141
9	782	38361
10	867	38563
11	954	38823
12	1041	39009
13	1126	39100
14	1212	39192
15	1293	39120
16	1391	39541
17	1477	39570
18	1559	39477
19	1641	39405
20	1722	39295
21	1804	39197
22	1884	39092
23	1967	39014
24	2048	38929
25	2129	38824
26	2215	38811
27	2295	38696
28	2301	37373
29	2380	37298
30	2460	37217
31	2543	37197
32	2625	37153
33	2706	37093
34	2786	37024
35	2864	36925
36	2945	36862
37	3027	36802
38	3107	36727
39	3192	36712
40	3272	36630
41	3278	35753
42	3361	35720
43	3443	35691
44	3524	35640
45	3606	35592
46	3686	35528
47	3766	35465
48	3846	35404
49	3927	35350
50	4008	35286
51	4088	35220
52	4168	35156
53	4252	35120
54	4333	35062
55	4412	34986
56	4493	34919
57	4573	34856
58	4651	34768
59	4734	34718
60	4816	34659
61	4899	34615
62	4980	34548
63	5062	34484
64	5143	34420
65	5221	34336
66	5304	34282
67	5391	34249
68	5471	34179
69	5557	34141
70	5640	34081
71	5720	34004
72	5803	33946
73	5886	33889
74	5967	33817
75	6050	33758
76	6136	33708
77	6217	33636
78	6298	33562
79	6381	33504
80	6462	33429
81	6542	33349
82	6623	33279
83	6705	33208
84	6788	33142
85	6794	32706
86	6877	32648
87	6959	32582
88	7042	32521
89	7121	32444
90	7203	32378
91	7283	32300
92	7287	31892
93	7371	31836
94	7451	31765
95	7533	31701
96	7618	31652
97	7699	31582
98	7780	31514
99	7863	31455
100	7945	31387
101	8027	31324
102	8109	31255
103	8189	31181
104	8270	31113
105	8352	31046
106	8431	30969
107	8516	30910
108	8598	30843
109	8680	30776
110	8759	30696
111	8843	30635
112	8925	30566
113	9004	30489
114	9092	30440
115	9183	30400
116	9282	30387
117	9363	30311
118	9445	30242
119	9528	30174
120	9609	30098
121	9693	30032
122	9773	29954
123	9854	29881
124	9935	29807
125	10017	29734
126	10095	29651
127	10176	29575
128	10257	29500
129	10338	29424
130	10420	29351
131	10499	29271
132	10579	29192
133	10664	29128
134	10745	29053
135	10825	28973
136	10904	28893
137	10985	28816
